Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,-3.62,3.24,1.644
0.151,-3.06,3.62,2.52
0.302,2.58,-2.1,-0.572
0.453,1.516,-1.558,-0.98
0.604,1.636,-1.238,-0.64
0.755,0.308,-0.566,-0.402
0.906,0.372,-0.1428,-0.0968
1.06,0.938,-0.726,-0.246
1.21,0.1588,-0.436,-0.38
1.36,0.1504,0.1534,0.1156
1.51,0.428,-0.536,-0.244
1.66,-0.566,0.404,0.0684
1.81,0.356,-0.0456,0.1124
1.96,-0.282,-0.0762,-0.1238
2.11,-0.386,0.508,0.226
2.27,0.222,-0.1402,0.0454
2.42,-0.518,0.1926,-0.0394
2.57,-0.0998,0.398,0.286
2.72,0.1598,-0.328,-0.1378
2.87,-0.594,0.478,0.1292
3.02,0.382,-0.081,0.108
3.17,-0.204,-0.138,-0.1586
3.32,-0.1902,0.376,0.183
3.47,0.428,-0.352,-0.0684
3.62,-0.356,0.0786,-0.0996
3.78,0.171,0.169,0.1816
3.93,0.274,-0.456,-0.224
4.08,-0.416,0.36,0.0772
4.23,0.51,-0.22,0.0338
4.38,-0.1704,-0.1708,-0.1924
4.53,-0.1068,0.328,0.1716
4.68,0.426,-0.392,-0.1044
4.83,-0.402,0.1436,-0.07
4.98,0.1964,0.1434,0.179
5.14,0.1638,-0.388,-0.21
5.29,-0.44,0.418,0.1196
5.44,0.464,-0.21,0.0368
5.59,-0.27,-0.0812,-0.1576
5.74,-0.1062,0.352,0.202
5.89,0.364,-0.376,-0.1088
6.04,-0.454,0.218,-0.0286
6.19,0.232,0.1086,0.1734
6.34,0.093,-0.35,-0.206
6.49,-0.406,0.43,0.1404
6.65,0.476,-0.254,0.01262
6.8,-0.304,-0.043,-0.1472
6.95,-0.04,0.316,0.2
7.1,0.35,-0.4,-0.1358
7.25,-0.45,0.25,-0.00918
7.4,0.294,0.0428,0.1488
7.55,0.046,-0.328,-0.212
7.7,-0.356,0.422,0.1524
7.85,0.488,-0.298,-0.01538
8,-0.338,0.000418,-0.1332
8.16,0.01732,0.282,0.1994
8.31,0.314,-0.406,-0.1546
8.46,-0.456,0.29,0.01708
8.61,0.336,-0.0076,0.1302
8.76,-0.0173,-0.286,-0.208
8.91,-0.318,0.424,0.1694
9.06,0.478,-0.328,-0.0376
9.21,-0.38,0.0528,-0.1124
9.36,0.069,0.248,0.1984
9.52,0.27,-0.402,-0.1688
9.67,-0.454,0.326,0.0436
9.82,0.372,-0.0582,0.1096
9.97,-0.0766,-0.244,-0.202
10.1,-0.27,0.416,0.1826
10.3,0.468,-0.356,-0.0616
10.4,-0.41,0.101,-0.0918
10.6,0.1248,0.208,0.192
10.7,0.224,-0.394,-0.1822
10.9,-0.442,0.354,0.0674
11,0.404,-0.1098,0.0862
11.2,-0.1326,-0.2,-0.1936
11.3,-0.218,0.402,0.1926
11.5,0.452,-0.38,-0.085
11.6,-0.436,0.1482,-0.0694
11.8,0.1786,0.1632,0.183
11.9,0.1748,-0.378,-0.192
12.1,-0.424,0.376,0.0912
12.2,0.43,-0.158,0.0626
12.4,-0.1874,-0.1534,-0.1822
12.5,-0.1648,0.382,0.2
12.7,0.428,-0.398,-0.1068
12.8,-0.456,0.1942,-0.0458
13,0.23,0.1168,0.1714
13.1,0.1214,-0.358,-0.1988
13.3,-0.4,0.394,0.113
13.4,0.448,-0.204,0.0378
13.6,-0.24,-0.1044,-0.1686
13.7,-0.1088,0.358,0.206
13.9,0.4,-0.412,-0.1272
14,-0.468,0.238,-0.0214
14.2,0.278,0.068,0.1568
14.3,0.0662,-0.332,-0.202
14.5,-0.368,0.404,0.1332
14.7,0.46,-0.246,0.0127
14.8,-0.286,-0.0538,-0.1524
15,-0.0514,0.328,0.208
15.1,0.364,-0.418,-0.146
15.3,-0.474,0.276,0.00342
15.4,0.322,0.01832,0.14
15.6,0.00982,-0.3,-0.204
15.7,-0.332,0.41,0.1512
15.9,0.464,-0.286,-0.01262
16,-0.33,-0.00276,-0.134
16.2,0.00656,0.292,0.206
16.3,0.324,-0.42,-0.1626
16.5,-0.474,0.312,0.0282
16.6,0.362,-0.0318,0.1212
16.8,-0.047,-0.264,-0.202
16.9,-0.29,0.408,0.167
17.1,0.46,-0.32,-0.0376
17.2,-0.368,0.0482,-0.1138
17.4,0.0642,0.254,0.202
17.5,0.278,-0.414,-0.1768
17.7,-0.468,0.344,0.0526
17.8,0.396,-0.0818,0.1002
18,-0.1032,-0.224,-0.196
18.1,-0.244,0.402,0.1802
18.3,0.45,-0.35,-0.0622
18.4,-0.4,0.0984,-0.0918
18.6,0.1208,0.21,0.1946
18.7,0.23,-0.402,-0.1882
18.9,-0.454,0.37,0.0764
19,0.424,-0.1306,0.0778
19.2,-0.158,-0.1804,-0.1876
19.3,-0.1944,0.388,0.1908
19.5,0.434,-0.374,-0.0856
19.6,-0.426,0.147,-0.0684
19.8,0.1754,0.1646,0.1846
19.9,0.1772,-0.386,-0.1972
20.1,-0.432,0.39,0.099
20.2,0.446,-0.1774,0.0544
20.4,-0.21,-0.134,-0.1764
20.5,-0.1414,0.368,0.1984
20.7,0.412,-0.392,-0.1078
20.8,-0.446,0.1934,-0.0442
21,0.228,0.1166,0.1718
21.1,0.1224,-0.362,-0.202
21.3,-0.406,0.406,0.1202
21.4,0.462,-0.222,0.03
21.6,-0.26,-0.0856,-0.1626
21.7,-0.0862,0.342,0.202
21.9,0.382,-0.404,-0.1284
22.1,-0.46,0.236,-0.01936
22.2,0.276,0.0668,0.1564
22.4,0.0662,-0.334,-0.206
22.5,-0.372,0.414,0.1396
22.7,0.472,-0.262,0.00496
22.8,-0.306,-0.0358,-0.1464
23,-0.0296,0.312,0.204
23.1,0.346,-0.412,-0.147
23.3,-0.466,0.276,0.00584
