Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,0.1504,-1.782,-2.72
0.151,3.14,-3.62,-4.52
0.302,1.442,0.264,0.984
0.453,-0.726,1.212,1.592
0.604,0.222,0.548,0.92
0.755,-0.708,0.668,0.806
0.906,0.266,-0.057,-0.0348
1.06,0.398,0.1618,0.42
1.21,-0.792,0.648,0.722
1.36,0.524,-0.342,-0.376
1.51,-0.222,0.386,0.562
1.66,-0.408,0.01542,-0.1536
1.81,0.674,-0.332,-0.27
1.96,-0.684,0.396,0.394
2.11,0.208,-0.364,-0.528
2.27,0.306,-0.0964,-0.00892
2.42,-0.686,0.262,0.1578
2.57,0.662,-0.548,-0.64
2.72,-0.254,0.292,0.404
2.87,-0.278,-0.0926,-0.278
3.02,0.688,-0.326,-0.25
3.17,-0.672,0.422,0.434
3.32,0.322,-0.356,-0.476
3.47,0.25,0.0424,0.1884
3.62,-0.64,0.298,0.226
3.78,0.7,-0.45,-0.47
3.93,-0.338,0.404,0.546
4.08,-0.1994,-0.071,-0.218
4.23,0.636,-0.226,-0.1094
4.38,-0.712,0.46,0.478
4.53,0.386,-0.364,-0.466
4.68,0.1504,0.1152,0.268
4.83,-0.61,0.25,0.1564
4.98,0.712,-0.444,-0.452
5.14,-0.424,0.414,0.53
5.29,-0.1172,-0.1442,-0.306
5.44,0.582,-0.204,-0.089
5.59,-0.73,0.424,0.41
5.74,0.458,-0.416,-0.516
5.89,0.065,0.1514,0.296
6.04,-0.554,0.1822,0.0668
6.19,0.728,-0.436,-0.428
6.34,-0.49,0.43,0.528
6.49,-0.0242,-0.1988,-0.358
6.65,0.528,-0.1532,-0.0268
6.8,-0.732,0.406,0.378
6.95,0.526,-0.434,-0.518
7.1,-0.0224,0.21,0.358
7.25,-0.49,0.1348,0.01094
7.4,0.728,-0.404,-0.374
7.55,-0.552,0.452,0.536
7.7,0.0648,-0.242,-0.394
7.85,0.46,-0.096,0.042
8,-0.726,0.382,0.338
8.16,0.584,-0.446,-0.514
8.31,-0.112,0.26,0.404
8.46,-0.422,0.0792,-0.055
8.61,0.716,-0.374,-0.324
8.76,-0.606,0.46,0.528
8.91,0.1528,-0.29,-0.436
9.06,0.388,-0.043,0.1016
9.21,-0.71,0.348,0.284
9.36,0.632,-0.456,-0.508
9.52,-0.199,0.302,0.44
9.67,-0.346,0.0214,-0.121
9.82,0.696,-0.338,-0.272
9.97,-0.652,0.464,0.512
10.1,0.24,-0.33,-0.468
10.3,0.31,0.01262,0.163
10.4,-0.684,0.31,0.23
10.6,0.672,-0.456,-0.492
10.7,-0.282,0.344,0.472
10.9,-0.266,-0.0348,-0.1826
11,0.664,-0.296,-0.212
11.2,-0.686,0.46,0.49
11.3,0.322,-0.366,-0.494
11.5,0.226,0.0686,0.222
11.6,-0.646,0.268,0.1726
11.8,0.702,-0.45,-0.468
11.9,-0.364,0.378,0.496
12.1,-0.1812,-0.0906,-0.242
12.2,0.622,-0.25,-0.1512
12.4,-0.712,0.45,0.462
12.5,0.4,-0.398,-0.514
12.7,0.1394,0.123,0.278
12.8,-0.6,0.22,0.1112
13,0.722,-0.438,-0.436
13.1,-0.438,0.406,0.512
13.3,-0.0936,-0.1452,-0.298
13.4,0.572,-0.1998,-0.0882
13.6,-0.726,0.434,0.426
13.7,0.47,-0.424,-0.526
13.9,0.051,0.176,0.33
14,-0.544,0.1696,0.0484
14.2,0.73,-0.418,-0.398
