Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,-0.1764,-0.494,0.9
0.151,-0.364,0.0422,2.46
0.302,0.0766,0.662,0.272
0.453,0.0366,0.0796,-0.786
0.604,0.0312,0.238,-0.25
0.755,0.0872,-0.0414,-0.454
0.906,-0.0898,0.05,0.032
1.06,0.065,0.214,0.037
1.21,0.0376,-0.0926,-0.49
1.36,-0.0712,0.0626,0.242
1.51,0.1008,0.0676,-0.1902
1.66,-0.0546,-0.169,-0.1302
1.81,-0.0126,0.1492,0.308
1.96,0.0766,-0.1122,-0.306
2.11,-0.0984,-0.0628,0.174
2.27,0.0586,0.1054,0.152
2.42,0.00472,-0.1732,-0.28
2.57,-0.0764,0.0558,0.382
2.72,0.0934,0.0278,-0.1476
2.87,-0.0684,-0.1558,-0.0518
3.02,-0.00514,0.1608,0.314
3.17,0.068,-0.1028,-0.322
3.32,-0.0988,-0.01834,0.1956
3.47,0.0702,0.1286,0.0742
3.62,-0.00434,-0.1496,-0.294
3.78,-0.064,0.1024,0.346
3.93,0.0968,0.0296,-0.224
4.08,-0.0726,-0.123,-0.0502
4.23,0.0097,0.1748,0.26
4.38,0.0622,-0.1086,-0.354
4.53,-0.0962,0.00292,0.214
4.68,0.0794,0.1162,0.01988
4.83,-0.01562,-0.1568,-0.27
4.98,-0.0544,0.1122,0.35
5.14,0.0948,0.000486,-0.248
5.29,-0.0802,-0.1166,0.000884
5.44,0.0204,0.1656,0.244
5.59,0.0516,-0.1292,-0.346
5.74,-0.0952,0.01552,0.256
5.89,0.085,0.0976,-0.01342
6.04,-0.0282,-0.1602,-0.23
6.19,-0.0448,0.124,0.356
6.34,0.0912,-0.021,-0.272
6.49,-0.0864,-0.1,0.0456
6.65,0.0316,0.1638,0.212
6.8,0.041,-0.1388,-0.344
6.95,-0.0914,0.0368,0.282
7.1,0.0904,0.0844,-0.0592
7.25,-0.0392,-0.155,-0.1986
7.4,-0.0338,0.1378,0.346
7.55,0.0872,-0.0392,-0.3
7.7,-0.0906,-0.0814,0.0844
7.85,0.0426,0.1596,0.1748
8,0.0302,-0.1478,-0.336
8.16,-0.0864,0.0558,0.304
8.31,0.0946,0.0672,-0.102
8.46,-0.0498,-0.1498,-0.1616
8.61,-0.0224,0.1468,0.334
8.76,0.0814,-0.0592,-0.32
8.91,-0.0938,-0.0636,0.1258
9.06,0.0528,0.1516,0.1378
9.21,0.0187,-0.156,-0.322
9.36,-0.0802,0.0734,0.324
9.52,0.097,0.0486,-0.1416
9.67,-0.0596,-0.1424,-0.1214
9.82,-0.01074,0.1538,0.318
9.97,0.0744,-0.0774,-0.334
10.1,-0.0956,-0.0444,0.1648
10.3,0.0622,0.1424,0.0978
10.4,0.00696,-0.1614,-0.304
10.6,-0.0728,0.0908,0.338
10.7,0.098,0.0298,-0.18
10.9,-0.0688,-0.1322,-0.0802
11,0.00107,0.1586,0.296
11.2,0.0664,-0.0942,-0.346
11.3,-0.096,-0.0246,0.202
11.5,0.0706,0.1308,0.056
11.6,-0.00482,-0.1644,-0.28
11.8,-0.0642,0.1066,0.346
11.9,0.0978,0.01028,-0.216
12.1,-0.0768,-0.1202,-0.0378
12.2,0.013,0.161,0.27
12.4,0.0574,-0.1098,-0.352
12.5,-0.0948,-0.00452,0.234
12.7,0.078,0.1174,0.01368
12.8,-0.01662,-0.1652,-0.254
13,-0.0548,0.121,0.35
13.1,0.096,-0.00952,-0.248
13.3,-0.0836,-0.1062,0.00518
13.4,0.0246,0.1608,0.24
13.6,0.0476,-0.1236,-0.352
13.7,-0.0922,0.01554,0.264
13.9,0.0842,0.1024,-0.029
14,-0.028,-0.1636,-0.222
14.2,-0.0446,0.1336,0.348
14.3,0.0928,-0.0292,-0.276
14.5,-0.0892,-0.0906,0.048
14.7,0.036,0.1582,0.208
14.8,0.037,-0.1354,-0.346
15,-0.0884,0.0354,0.29
15.1,0.0892,0.0858,-0.0714
15.3,-0.0392,-0.1596,-0.1878
15.4,-0.0338,0.1442,0.34
15.6,0.0882,-0.0486,-0.3
15.7,-0.0936,-0.0736,0.0902
15.9,0.0468,0.1532,0.1714
16,0.0258,-0.1454,-0.336
16.2,-0.083,0.0546,0.312
16.3,0.0928,0.068,-0.1126
16.5,-0.0496,-0.1532,-0.1504
16.6,-0.0224,0.1528,0.328
16.8,0.0824,-0.0672,-0.32
16.9,-0.0966,-0.0554,0.1308
17.1,0.057,0.1458,0.1328
17.2,0.01414,-0.153,-0.322
17.4,-0.0766,0.0728,0.33
17.5,0.095,0.0492,-0.1522
17.7,-0.0592,-0.1446,-0.1108
17.8,-0.01068,0.159,0.31
18,0.0754,-0.0848,-0.334
18.1,-0.098,-0.0364,0.1696
18.3,0.0662,0.1362,0.092
18.4,0.00232,-0.1582,-0.302
18.6,-0.0688,0.09,0.342
18.7,0.0958,0.0298,-0.1896
18.9,-0.068,-0.1338,-0.0696
19,0.001152,0.163,0.29
19.2,0.0672,-0.1012,-0.344
19.3,-0.0982,-0.0169,0.206
19.5,0.0746,0.1246,0.05
19.6,-0.0096,-0.1612,-0.278
19.8,-0.0602,0.106,0.35
19.9,0.095,0.00998,-0.224
20.1,-0.0758,-0.121,-0.0272
20.2,0.01282,0.1648,0.262
20.4,0.0578,-0.1162,-0.35
20.5,-0.097,0.00302,0.238
20.7,0.0818,0.1112,0.00718
20.8,-0.0214,-0.1616,-0.25
21,-0.0506,0.1202,0.352
21.1,0.093,-0.01,-0.256
21.3,-0.0824,-0.1066,0.01554
21.4,0.0246,0.1638,0.232
21.6,0.048,-0.1294,-0.35
21.7,-0.094,0.0228,0.268
21.9,0.0882,0.0958,-0.0358
22.1,-0.0326,-0.1598,-0.218
22.2,-0.0396,0.1324,0.348
22.4,0.0898,-0.03,-0.282
22.5,-0.0874,-0.0906,0.058
22.7,0.036,0.1604,0.199
