Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
0,0.166,1.73,-0.917
0.151,-2.52,2.91,-1.64
0.302,-1.64,-0.568,0.298
0.453,0.384,-1.08,0.542
0.604,-0.232,-0.614,0.314
0.755,0.55,-0.497,0.306
0.906,-0.287,-0.0528,-0.0289
1.06,-0.367,-0.218,0.137
1.21,0.585,-0.494,0.273
1.36,-0.403,0.217,-0.158
1.51,0.164,-0.313,0.218
1.66,0.346,0.0532,-0.0568
1.81,-0.526,0.188,-0.105
1.96,0.566,-0.219,0.159
2.11,-0.144,0.28,-0.196
2.27,-0.219,0.0708,-0.00468
2.42,0.555,-0.129,0.0759
2.57,-0.497,0.4,-0.251
2.72,0.2,-0.21,0.164
2.87,0.238,0.131,-0.104
3.02,-0.547,0.181,-0.0967
3.17,0.535,-0.254,0.17
3.32,-0.256,0.247,-0.182
3.47,-0.201,-0.0574,0.0653
3.62,0.498,-0.182,0.0958
3.78,-0.552,0.294,-0.193
3.93,0.251,-0.308,0.215
4.08,0.162,0.0884,-0.0872
4.23,-0.514,0.0957,-0.0457
4.38,0.56,-0.29,0.185
4.53,-0.306,0.243,-0.179
4.68,-0.123,-0.108,0.0965
4.83,0.48,-0.143,0.0697
4.98,-0.557,0.29,-0.185
5.14,0.326,-0.301,0.211
5.29,0.103,0.143,-0.12
5.44,-0.465,0.0895,-0.0356
5.59,0.579,-0.253,0.161
5.74,-0.359,0.282,-0.198
5.89,-0.0526,-0.124,0.109
6.04,0.439,-0.0903,0.0358
6.19,-0.57,0.282,-0.176
6.34,0.38,-0.304,0.211
6.49,0.0284,0.177,-0.141
6.65,-0.423,0.0549,-0.0113
6.8,0.58,-0.24,0.148
6.95,-0.414,0.288,-0.199
7.1,0.0139,-0.164,0.133
7.25,0.389,-0.0594,0.0134
7.4,-0.573,0.253,-0.155
7.55,0.429,-0.315,0.215
7.7,-0.0432,0.2,-0.156
7.85,-0.371,0.0153,0.0155
8,0.576,-0.222,0.132
8.16,-0.459,0.292,-0.199
8.31,0.0844,-0.195,0.151
8.46,0.336,-0.0211,-0.0125
8.61,-0.565,0.229,-0.136
8.76,0.473,-0.315,0.212
8.91,-0.113,0.229,-0.173
9.06,-0.313,-0.0189,0.0392
9.21,0.564,-0.195,0.112
9.36,-0.498,0.294,-0.197
9.52,0.153,-0.22,0.166
9.67,0.277,0.0181,-0.0386
9.82,-0.549,0.201,-0.115
9.97,0.51,-0.312,0.207
10.1,-0.181,0.252,-0.186
10.3,-0.251,-0.0553,0.0635
10.4,0.543,-0.167,0.091
10.6,-0.53,0.29,-0.191
10.7,0.219,-0.244,0.179
10.9,0.214,0.055,-0.0627
11,-0.525,0.17,-0.0923
11.2,0.538,-0.305,0.199
11.3,-0.247,0.272,-0.197
11.5,-0.185,-0.0913,0.0872
11.6,0.514,-0.136,0.0684
11.8,-0.554,0.282,-0.182
11.9,0.282,-0.263,0.189
12.1,0.147,0.0914,-0.0865
12.2,-0.493,0.137,-0.0686
12.4,0.559,-0.293,0.188
12.5,-0.308,0.288,-0.205
12.7,-0.117,-0.126,0.11
12.8,0.478,-0.103,0.0445
13,-0.57,0.269,-0.17
13.1,0.342,-0.278,0.196
13.3,0.0786,0.126,-0.109
13.4,-0.453,0.102,-0.0438
13.6,0.571,-0.277,0.175
13.7,-0.366,0.3,-0.21
13.9,-0.0472,-0.159,0.13
14,0.434,-0.0679,0.0198
14.2,-0.577,0.252,-0.156
14.3,0.396,-0.289,0.2
14.5,0.00868,0.159,-0.129
14.7,-0.407,0.0655,-0.0185
14.8,0.575,-0.257,0.159
15,-0.417,0.308,-0.212
15.1,0.0234,-0.189,0.149
15.3,0.385,-0.0318,-0.00521
15.4,-0.576,0.231,-0.139
15.6,0.444,-0.295,0.201
15.7,-0.0615,0.189,-0.147
15.9,-0.355,0.0283,0.00688
16,0.57,-0.234,0.14
16.2,-0.463,0.312,-0.212
16.3,0.0936,-0.218,0.166
16.5,0.329,0.00497,-0.0303
16.6,-0.567,0.206,-0.12
16.8,0.485,-0.297,0.199
16.9,-0.131,0.216,-0.163
17.1,-0.297,-0.00915,0.0321
17.2,0.556,-0.207,0.12
17.4,-0.501,0.31,-0.208
17.5,0.162,-0.243,0.181
17.7,0.269,0.0419,-0.055
17.8,-0.549,0.179,-0.0989
18,0.52,-0.294,0.194
18.1,-0.198,0.24,-0.177
18.3,-0.235,-0.0463,0.0568
18.4,0.534,-0.177,0.0982
18.6,-0.532,0.305,-0.201
18.7,0.229,-0.264,0.193
18.9,0.204,0.0782,-0.0791
19,-0.522,0.148,-0.0765
19.2,0.546,-0.287,0.186
19.3,-0.262,0.26,-0.188
19.5,-0.169,-0.0827,0.0805
19.6,0.505,-0.145,0.0749
19.8,-0.555,0.295,-0.191
19.9,0.292,-0.282,0.202
20.1,0.137,0.113,-0.102
20.2,-0.488,0.115,-0.0527
20.4,0.565,-0.275,0.175
20.5,-0.323,0.276,-0.195
20.7,-0.101,-0.118,0.103
20.8,0.467,-0.111,0.0505
21,-0.57,0.28,-0.178
21.1,0.35,-0.295,0.208
21.3,0.067,0.147,-0.124
21.4,-0.448,0.0805,-0.0283
21.6,0.574,-0.259,0.161
21.7,-0.379,0.288,-0.2
21.9,-0.0317,-0.15,0.124
22.1,0.422,-0.0746,0.0253
22.2,-0.576,0.262,-0.163
22.4,0.403,-0.304,0.211
22.5,-0.00347,0.179,-0.143
22.7,-0.399,0.0445,-0.00316
22.8,0.577,-0.239,0.145
23,-0.428,0.295,-0.202
23.1,0.0407,-0.182,0.143
23.3,0.374,-0.0388,0.000393
23.4,-0.571,0.239,-0.145
23.6,0.453,-0.311,0.212
23.7,-0.0704,0.207,-0.16
23.9,-0.342,0.00608,0.0227
24,0.572,-0.217,0.127
24.2,-0.47,0.297,-0.2
24.3,0.11,-0.211,0.16
24.5,0.316,-0.00159,-0.0249
24.6,-0.564,0.214,-0.126
24.8,0.488,-0.309,0.208
24.9,-0.148,0.236,-0.177
25.1,-0.293,-0.0273,0.0461
25.2,0.545,-0.185,0.105
25.4,-0.519,0.301,-0.198
25.5,0.166,-0.23,0.172
25.7,0.244,0.0414,-0.0521
25.8,-0.553,0.191,-0.107
26,0.516,-0.301,0.201
26.1,-0.215,0.261,-0.191
26.3,-0.223,-0.0642,0.0706
26.4,0.536,-0.159,0.084
26.6,-0.524,0.287,-0.188
26.7,0.264,-0.262,0.188
26.9,0.218,0.0633,-0.0699
27,-0.481,0.141,-0.076
27.2,0.596,-0.315,0.202
27.3,-0.218,0.252,-0.189
27.5,-0.105,-0.126,0.104
27.6,0.524,-0.142,0.0665
27.8,-0.534,0.264,-0.171
27.9,0.395,-0.315,0.215
